SKU,Marca,Modelo,PrecioNormal,PrecioInternet,Descripcion,Imagen,Categoria1,Categoria2,Categoria3,Categoria4,Categoria5,Categoria6,Categoria7,Categoria8
3820554,Asics,Zapatilla Hombre Gel-Kayano 19,0,99990,a,http://integra.ing.puc.cl/IMAGENESTI/3820554.jpeg,Especiales ,BUSCADOR ZAPATILLAS,,,,,,
3302394,Colour Couture,Set de Maquillaje,12990,2590,a,http://integra.ing.puc.cl/IMAGENESTI/3302394.jpeg,Especiales ,Ladies First,Todo Ladies First,Moderna,,,,
3607315,Lego Star Wars,Z-95 Headhunter,0,54990,a,http://integra.ing.puc.cl/IMAGENESTI/3607315.jpeg,Infantil,Especiales infantiles,Mundo Lego,,,,,
3825943,Hadaki,Cartera Balde Stripes Negra,0,17990,a,http://integra.ing.puc.cl/IMAGENESTI/3825943.jpeg,Moda  ,Carteras,Carteras Urbanas,,,,,
2657296,Mica,Home Maxim,99990,72990,a,http://integra.ing.puc.cl/IMAGENESTI/2657296.jpeg,Muebles,Sala de Estar,Poufs,,,,,
2153780,Lanard,Metralleta Dardos Espuma,0,7990,a,http://integra.ing.puc.cl/IMAGENESTI/2153780.jpeg,Juguetes Outdoor,,,,,,,
3421338,Steve Madden,Mocasines khaky Canncun,0,50980,a,http://integra.ing.puc.cl/IMAGENESTI/3421338.jpeg,Calzado ,Calzado Hombre,Botines,,,,,
3695241,Mica,Home Tv Colono,309990,99990,a,http://integra.ing.puc.cl/IMAGENESTI/3695241.jpeg,Especiales ,Descuento muebles,,,,,,
880172954,Basement,Enterito Negro,16990,4990,a,http://integra.ing.puc.cl/IMAGENESTI/880172954.jpeg,Moda  ,Carteras,,,,,,
3663771,Warehouse,Jeans Pitillo Azul,0,38990,a,http://integra.ing.puc.cl/IMAGENESTI/3663771.jpeg,Moda  ,Vestuario Mujer,Faldas,Pantalones ,Jeans,,,
3871439,Rosen,Box Spring Ergo T 2 Plazas + Textil,319990,209990,a,http://integra.ing.puc.cl/IMAGENESTI/3871439.jpeg,Especiales ,Ergo-t,,,,,,
1932796,Efesis,Jeans Pretina Alta Azul,0,25990,a,http://integra.ing.puc.cl/IMAGENESTI/1932796.jpeg,Moda  ,Vestuario Mujer,Faldas,Pantalones ,Jeans,,,
3688655,Ashley,Sitial Comedor Porter Ashley,139990,99990,a,http://integra.ing.puc.cl/IMAGENESTI/3688655.jpeg,Muebles,Comedor,Sillas de Comedor,,,,,
3305980,Biotherm,Gel Hidratante Matificante de Rostro para Hombre T-Pur Anti Oil 50 ml,0,19990,a,http://integra.ing.puc.cl/IMAGENESTI/3305980.jpeg,Belleza,Belleza Hombre,Cremas y Tratamientos,,,,,
3732464,Salomon,Zapatilla Mujer SpeedCross,0,73900,a,http://integra.ing.puc.cl/IMAGENESTI/3732464.jpeg,Especiales ,BUSCADOR ZAPATILLAS,,,,,,
2619186,Clarks,Zapato Negro 20338668,0,49990,a,http://integra.ing.puc.cl/IMAGENESTI/2619186.jpeg,Regalos,Para Ella,Flores,Cajas de Rosas,,,,
3881452,Gyro Byke,Moto de Madera G Motocross,0,49990,a,http://integra.ing.puc.cl/IMAGENESTI/3881452.jpeg,Infantil,Rodados,Correpasillos,,,,,
3581589,Guante,Zapato Negro 590,0,64990,a,http://integra.ing.puc.cl/IMAGENESTI/3581589.jpeg,Calzado ,Calzado Hombre,Zapatos,,,,,
3379421,Rosen,Box Spring Super King Style 6,749990,489990,a,http://integra.ing.puc.cl/IMAGENESTI/3379421.jpeg,Dormitorio,Box Spring,Box Spring King,,,,,
3680083,Puzzle,Set de Maletas Morado,89990,59990,a,http://integra.ing.puc.cl/IMAGENESTI/3680083.jpeg,Falabella TV,Hogar,Facilita tu vida,,,,,
